Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
700000,1.3995351,0.013170421,999.0,0.0,0.0,1.0
710000,1.39946,0.012364182,999.0,0.0,0.0,1.0
720000,1.3994131,0.013324924,999.0,0.0,0.0,1.0
730000,1.3993784,0.009744836,999.0,0.021174960902759006,0.021174960902759006,1.0
740000,1.3986971,0.011579106,999.0,0.0,0.0,1.0
750000,1.3980439,0.008927457,999.0,0.1136747192252766,0.1136747192252766,1.0
760000,1.3975443,0.0111575285,999.0,0.021806197507040843,0.021806197507040843,1.0
770000,1.39682,0.012723209,999.0,0.0,0.0,1.0
780000,1.3964387,0.01347586,999.0,0.0833012962883169,0.0833012962883169,1.0
790000,1.3954098,0.010205264,999.0,0.09336884319782257,0.09336884319782257,1.0
800000,1.3951285,0.015032555,999.0,0.6535642258822918,0.6535642258822918,1.0
810000,1.3940722,0.02171262,999.0,0.3245024735277349,0.3245024735277349,1.0
820000,1.3940008,0.028557371,999.0,1.3120020553469658,1.3120020553469658,1.0
830000,1.3935108,0.03536705,999.0,1.70048093299071,1.70048093299071,1.0
840000,1.3935108,0.048736356,999.0,2.6271089335734192,2.6271089335734192,1.0
850000,1.392305,0.07298175,999.0,4.359996627484049,4.359996627484049,1.0
860000,1.3922673,0.06216786,999.0,2.2134559005498886,2.2134559005498886,1.0
870000,1.3908627,0.10184367,999.0,4.552711490880359,4.552711490880359,1.0
880000,1.3907031,0.12935387,999.0,5.556710870138237,5.556710870138237,1.0
890000,1.3884735,0.10488361,999.0,4.302213352173567,4.302213352173567,1.0
900000,1.388017,0.1146395,999.0,3.948784802447666,3.948784802447666,1.0
910000,1.3847561,0.21608457,999.0,8.513902982430798,8.513902982430798,1.0
920000,1.3832434,0.21370688,999.0,6.1373109345634775,6.1373109345634775,1.0
930000,1.3816595,0.259135,999.0,9.40078607912768,9.40078607912768,1.0
940000,1.3805904,0.27259958,999.0,9.727441955889974,9.727441955889974,1.0
950000,1.3792796,0.28325373,999.0,7.715473695347707,7.715473695347707,1.0
960000,1.3780367,0.3003891,999.0,8.471669139171189,8.471669139171189,1.0
970000,1.3769048,0.3378559,999.0,9.050575595881257,9.050575595881257,1.0
980000,1.3752716,0.41618973,999.0,7.5423236433416605,7.5423236433416605,1.0
990000,1.3744903,0.4491137,999.0,10.1734224927019,10.1734224927019,1.0
1000000,1.3724539,0.5377591,999.0,15.070078213300024,15.070078213300024,1.0
1010000,1.3718421,0.56975394,999.0,12.772610450163484,12.772610450163484,1.0
1020000,1.3695834,0.63808405,999.0,12.838812744075602,12.838812744075602,1.0
1030000,1.3692746,0.5268482,999.0,9.53715045005083,9.53715045005083,1.0
1040000,1.366987,0.5814227,999.0,11.09420952325066,11.09420952325066,1.0
1050000,1.366987,0.7053365,999.0,13.927926965735175,13.927926965735175,1.0
1060000,1.3642809,0.61606205,999.0,11.36119729067598,11.36119729067598,1.0
1070000,1.3642102,0.7996425,999.0,12.973283979420861,12.973283979420861,1.0
1080000,1.3610688,0.9628099,999.0,21.543987052684482,21.543987052684482,1.0
1090000,1.3607019,0.9075254,999.0,15.178742998412677,15.178742998412677,1.0
1100000,1.3600019,1.0133463,999.0,14.956048061450323,14.956048061450323,1.0
1110000,1.359867,1.0162289,999.0,20.081827251409944,20.081827251409944,1.0
1120000,1.3583729,1.0587766,999.0,16.04145929643086,16.04145929643086,1.0
1130000,1.3576858,1.1248928,999.0,18.13627238323291,18.13627238323291,1.0
1140000,1.3561028,1.1688054,999.0,18.233858361840248,18.233858361840248,1.0
1150000,1.3550141,1.2070291,999.0,21.325186728366784,21.325186728366784,1.0
1160000,1.3532621,1.3067495,999.0,19.71348210548361,19.71348210548361,1.0
1170000,1.3515904,1.3771845,999.0,21.081464046781715,21.081464046781715,1.0
1180000,1.3507947,1.3069412,999.0,18.245280538286483,18.245280538286483,1.0
1190000,1.3496634,1.4094604,999.0,20.54327603926261,20.54327603926261,1.0
1200000,1.3493272,1.4280269,999.0,18.937839784405448,18.937839784405448,1.0
1210000,1.3484533,1.5172617,999.0,23.419003406273468,23.419003406273468,1.0
1220000,1.347951,1.5048869,999.0,20.51789720232288,20.51789720232288,1.0
1230000,1.3460724,1.5423775,999.0,20.360612855716184,20.360612855716184,1.0
1240000,1.3457466,1.6716845,999.0,24.75990658679179,24.75990658679179,1.0
1250000,1.3434656,1.7803444,999.0,28.366835181911785,28.366835181911785,1.0
1260000,1.3434656,1.6127898,999.0,22.611961830746043,22.611961830746043,1.0
1270000,1.3412756,1.8507888,999.0,27.738626343863352,27.738626343863352,1.0
1280000,1.3412272,1.9201466,999.0,31.13446804260214,31.13446804260214,1.0
1290000,1.3388497,1.7393414,999.0,23.25002687627619,23.25002687627619,1.0
1300000,1.338579,1.9534111,999.0,25.470031565853528,25.470031565853528,1.0
1310000,1.3359339,2.0383723,999.0,26.972206247970462,26.972206247970462,1.0
1320000,1.3353976,1.9911644,999.0,24.436898171901703,24.436898171901703,1.0
1330000,1.3341247,2.0155983,999.0,21.903279227869852,21.903279227869852,1.0
1340000,1.3335494,2.1639442,999.0,26.26508256047964,26.26508256047964,1.0
1350000,1.3330094,2.1438804,999.0,26.106933627616275,26.106933627616275,1.0
1360000,1.3326439,2.1261744,999.0,29.623801606042043,29.623801606042043,1.0
1370000,1.3316922,2.2677913,999.0,26.268102248509724,26.268102248509724,1.0
1380000,1.3307897,2.169588,999.0,27.809447982094504,27.809447982094504,1.0
1390000,1.3297348,2.3027546,999.0,30.548375010490417,30.548375010490417,1.0
1400000,1.3282202,2.3589566,999.0,28.149811029434204,28.149811029434204,1.0
1410000,1.3273704,2.3327098,999.0,29.11402132836255,29.11402132836255,1.0
