Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
940000,1.3479177,2.427735,999.0,29.85627178964205,29.85627178964205,1.0
950000,1.347758,2.4403934,999.0,31.677254504710437,31.677254504710437,1.0
960000,1.3463401,2.5744462,999.0,31.44035067614168,31.44035067614168,1.0
970000,1.3462666,2.4472702,999.0,28.77272781454958,28.77272781454958,1.0
980000,1.3444117,2.6484551,999.0,31.278107688296586,31.278107688296586,1.0
990000,1.3444117,2.734504,999.0,36.84948429856449,36.84948429856449,1.0
1000000,1.3433716,2.808434,999.0,35.43029568465427,35.43029568465427,1.0
1010000,1.343359,2.8259785,999.0,35.12204313250258,35.12204313250258,1.0
1020000,1.3425264,2.883512,999.0,31.325552502227946,31.325552502227946,1.0
1030000,1.3424543,2.908145,999.0,34.029371021687986,34.029371021687986,1.0
1040000,1.3399324,2.9743726,999.0,34.827054403722286,34.827054403722286,1.0
1050000,1.3395102,2.9680107,999.0,34.48034166125581,34.48034166125581,1.0
1060000,1.3375039,3.0599675,999.0,33.756587811931965,33.756587811931965,1.0
1070000,1.3369828,2.9746659,999.0,30.33799803778529,30.33799803778529,1.0
1080000,1.3348082,3.0234504,999.0,31.917342115845532,31.917342115845532,1.0
1090000,1.3339926,3.0947518,999.0,35.938682213239375,35.938682213239375,1.0
1100000,1.3328047,3.0195777,999.0,34.91494406480342,34.91494406480342,1.0
1110000,1.3322151,3.0008416,999.0,31.706553591787817,31.706553591787817,1.0
1120000,1.3310418,3.057766,999.0,33.5521867162548,33.5521867162548,1.0
1130000,1.3302587,3.173437,999.0,36.0799966821447,36.0799966821447,1.0
1140000,1.329598,3.0449111,999.0,30.42705453275703,30.42705453275703,1.0
1150000,1.3290367,3.1424556,999.0,31.095907240454107,31.095907240454107,1.0
1160000,1.3284596,3.2191417,999.0,38.73197661135346,38.73197661135346,1.0
1170000,1.3278477,3.205505,999.0,37.10736159661319,37.10736159661319,1.0
1180000,1.3275084,3.1817842,999.0,33.731645266059786,33.731645266059786,1.0
1190000,1.327041,3.2898796,999.0,37.8773449244909,37.8773449244909,1.0
1200000,1.3265593,3.310348,999.0,40.25581010361202,40.25581010361202,1.0
1210000,1.3256937,3.3311539,999.0,34.70756102818996,34.70756102818996,1.0
1220000,1.3256143,3.2516327,999.0,33.6414582404308,33.6414582404308,1.0
1230000,1.3254273,3.328568,999.0,33.945853191101925,33.945853191101925,1.0
1240000,1.3250916,3.3902087,999.0,37.45258194981143,37.45258194981143,1.0
1250000,1.3239563,3.4052951,999.0,37.15929242437706,37.15929242437706,1.0
1260000,1.3236151,3.3703294,999.0,35.79907786378171,35.79907786378171,1.0
1270000,1.3218962,3.284968,999.0,31.396890753833578,31.396890753833578,1.0
1280000,1.3215877,3.4161086,999.0,38.98568830841687,38.98568830841687,1.0
1290000,1.3187706,3.482467,999.0,38.37675030482933,38.37675030482933,1.0
1300000,1.3187007,3.4868965,999.0,41.3271278757602,41.3271278757602,1.0
1310000,1.3169955,3.5790582,999.0,40.95786369135603,40.95786369135603,1.0
1320000,1.3169955,3.5449367,999.0,37.848643669579175,37.848643669579175,1.0
1330000,1.3145831,3.6688423,999.0,40.31471393108368,40.31471393108368,1.0
1340000,1.3145466,3.647599,999.0,41.65236245235428,41.65236245235428,1.0
1350000,1.313802,3.5577824,999.0,35.33477142164484,35.33477142164484,1.0
1360000,1.313743,3.6671536,999.0,38.07144820038229,38.07144820038229,1.0
1370000,1.3130361,3.627536,999.0,36.81887638801709,36.81887638801709,1.0
1380000,1.3129165,3.6594646,999.0,39.524236062541604,39.524236062541604,1.0
1390000,1.3115163,3.7672055,999.0,42.52238261830062,42.52238261830062,1.0
1400000,1.3111478,3.7428105,999.0,40.59416833007708,40.59416833007708,1.0
1410000,1.3100097,3.744213,999.0,34.68163452753797,34.68163452753797,1.0
1420000,1.3095849,3.7479553,999.0,34.94611606616527,34.94611606616527,1.0
1430000,1.3078072,3.7200356,999.0,37.35637688776478,37.35637688776478,1.0
1440000,1.3069031,3.746529,999.0,37.64515678761527,37.64515678761527,1.0
1450000,1.306226,3.767418,999.0,40.79922746038064,40.79922746038064,1.0
1460000,1.3057822,3.7022376,999.0,38.15345093999058,38.15345093999058,1.0
1470000,1.3052449,3.7303538,999.0,39.598443154990676,39.598443154990676,1.0
1480000,1.3047793,3.8362515,999.0,39.356102471007034,39.356102471007034,1.0
1490000,1.3048568,3.7718067,999.0,38.27840743195266,38.27840743195266,1.0
1500000,1.3049451,3.79326,999.0,37.83143404666335,37.83143404666335,1.0
1510000,1.3044668,3.7024105,999.0,36.31984116923995,36.31984116923995,1.0
1520000,1.3038027,3.7505043,999.0,35.88453599223867,35.88453599223867,1.0
1530000,1.3038797,3.7574668,999.0,40.63709086207673,40.63709086207673,1.0
1540000,1.3040297,3.67172,999.0,32.93941206857562,32.93941206857562,1.0
1550000,1.3040946,3.7938163,999.0,39.8622854792513,39.8622854792513,1.0
1560000,1.3042524,3.7524872,999.0,42.23140892502852,42.23140892502852,1.0
1570000,1.3042119,3.7362416,999.0,38.11743139531463,38.11743139531463,1.0
1580000,1.3040887,3.8361511,999.0,41.75406023487449,41.75406023487449,1.0
1590000,1.303858,3.7882466,999.0,39.16163210617378,39.16163210617378,1.0
1600000,1.3026102,3.8476608,999.0,38.14614272625185,38.14614272625185,1.0
1610000,1.3022152,3.8929992,999.0,41.133046643435954,41.133046643435954,1.0
1620000,1.2984713,3.835806,999.0,40.347423859871924,40.347423859871924,1.0
1630000,1.2983671,3.8447614,999.0,38.68577995384112,38.68577995384112,1.0
1640000,1.2955511,3.8713994,999.0,41.20479229828343,41.20479229828343,1.0
1650000,1.2955511,3.9016051,999.0,42.39498658804223,42.39498658804223,1.0
